title,viewCount,publishedAt,thumbnails,comments
Happy Mother’s Day! 🤗💐#MunibaMazari #AspiretoInspire #DailyMotivation #MothersDay,4867,2024-05-12T09:00:08Z,"{'default': {'url': 'https://i.ytimg.com/vi/IMo-mFlD2_o/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/IMo-mFlD2_o/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/IMo-mFlD2_o/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/IMo-mFlD2_o/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/IMo-mFlD2_o/maxresdefault.jpg', 'width': 1280, 'height': 720}}","Happy Mother's day❤; Happy Mother's day everyone 😊; The perfect mother.. ❤️
From 🇮🇳love you sister; Happy Mother’s Day 😍; Happy mothers day ♥️♥️♥️♥️😍; Happy mother's day🎉; Happy mother's ❤❤❤; Happy mother's day, may Allah bless our parents with health and prosperity ❤; Mamas Happy Mother's Day.😍🤩🙏👍; Sister Muniba Mazari, ""Global Inspiration And Iron Lady"", I pray to Almighty God to give happiness, grace, mercy and protection to You and Your Loving Family🙏🏼😇🎆🌈; Sending to All Mothers Globally, warm wishes and hugs on Mother's Day. Your love has made our house a home, and your presence fills our hearts with happiness."" ""Mom, may your day be filled with moments of relaxation, pampering, and pure bliss. You deserve all the love in the world.; Sametoyou. Moom.  You're 💚🤍🤍🤍🤍.  The. Power of your.   Doughter 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍.   Do.   Think.   Another; ALLAH PAK RABUL IJAT 
SABHI MAAU Ko HAMESHA 
KHUSH ABAD SHAD RAKHY 
JHAAN BHI RAHE HAMESHA ALLAH PAK RABUL IJAT KI PNAH ME RAHE AMEEN SUM AMEEN; You are my inspiration ❤❤❤ love you sister ❤❤❤; Love you muniba appi ❤❤❤❤❤❤; Happy Mother's Day..! Mam❤; Lots of love and respect from Pakistan; Allahumma Barik Lak.; Angels 💐; ❤ MASHALLAH 🎉 HAPPY MOTHER'S DAY ❤️"
Love & Light To All! 🩵💫 #munibamazari #aspiretoinspire #dailymotivation,8215,2024-05-04T13:00:20Z,"{'default': {'url': 'https://i.ytimg.com/vi/MGuRu2pB-68/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/MGuRu2pB-68/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/MGuRu2pB-68/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/MGuRu2pB-68/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/MGuRu2pB-68/maxresdefault.jpg', 'width': 1280, 'height': 720}}","How are u?
NOW
Sister; Kya mai aap se personal hindi me contact kar sakti hu please meri aap se request hai; Happy Birthday!!! ❤❤❤❤; Love & Dua!🩵🤲🏻🌸; ❤; Great women!; MashaAllah 💝💝💝💝💫💫💫💫; God bless you ❤❤; Am in severe dippresion please 🙏 help me 😭💔; Aslamoalekum! Muniba N Nayel stay blessed AAMEEN ❤; I always listen to your inspiral motivational speech you a great women❤❤ I m from India; Very nice mashallah.; i need Ur replay mam I'm so tired 😢; I love Pakistan from Philippines ❤️; Very kind woman. You inspire us!!; 🤲; 👨‍🌾⏳💫🌟🥥💃🛏

🍬🍬🧸; All Lovely  Golden Girl Of Pakistan; Nale.  My.   Son.  Respect. Muniba mazari. My.  Respect.  Eais. &. Im😅😅😅😅😅😅😅😅😅😅.   How. I'm. Live. In.  India.  Never.  Fuk.  All.   I'm. Dead.      Happy.  Weekend.  Sweeeeeeet Dreamzzzzzzzz zzzzzzzzzz 🌉🌃🌉🌃🌉🌃🌉🌃🌉🌃🌉🌃🌉🌃🌉🌃🌉🌃🌉; mashallah bhoot Kob AIIah koshyaan de Ameen"
My wonder boy turns 13! 🎈💚#NaelTurns13 #MomSon #MunibaMazari #AspiretoInspire #DailyMotivation,26291,2024-04-17T14:20:14Z,"{'default': {'url': 'https://i.ytimg.com/vi/GNXp9N9psXs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/GNXp9N9psXs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/GNXp9N9psXs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/GNXp9N9psXs/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/GNXp9N9psXs/maxresdefault.jpg', 'width': 1280, 'height': 720}}",❤ my sweet Muni❤❤; ❤Muni i to love you i love you Muni❤❤; God bless your son❤❤; 🎉 Happy Birthday; Good morning sister I am from India how ru sister.; Happy birthday handsome ❤; Allah ap dono ki umer daraz kre ameen; Happiest belated birthday 🎂🎉; Happy happy birthday to you bro; Amazing mam..; Happy Birthday Nael🎉🥳; mashAllah Allah pak apka Sahara salamat rkhy amen ❤; Real love look like mom. ❤❤; Nin maseere diib badanaa😂😂😂😂; Happy Birthday; ❤❤❤; That's how you feel 😍; ❤❤❤น่ารักที่สุด😊; What would happen if a good women met a good man? Shouldn't their relationship be perfect; Happy birthday nile
A Gentle Reminder! 💐 #munibamazari #aspiretoinspire #dailymotivation #positivethinking,18112,2024-03-31T13:00:09Z,"{'default': {'url': 'https://i.ytimg.com/vi/EA3aikAufkc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/EA3aikAufkc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/EA3aikAufkc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/EA3aikAufkc/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/EA3aikAufkc/maxresdefault.jpg', 'width': 1280, 'height': 720}}","Muni before my history indian girl my relationship i think stop Muni i respect liked love you you my heart my heart pain only you Muni i perpose you Muni; Best Lady in Pakistan History; U r such a darling 💖; Baji app ne cloth phiti phiti hoty nahi dekhy,yet ur talk isnt just soft,informative and couragious.❤👍; Thank you Mam , for your strong words , the way life is heading it really means alot. Even when reality means alot.; Love you always ❤️; True!; What 🎉; Absolutely true word.; Truely said!
Most of the people are very good at stamping , judgeing and enjoy with their made up stories in putting others down to prove them high aswell.
Asusual❤ Muniba !!; True true true and 100% true 🙏👍👌❤️; That's true; Your words always help me to do my best irrespective of all the odds I face ❤; I don't know if you will see this message but I am a big fan of  youu Ma'am and I hope to have a chance to meet you in person at least once in my life, if possible I hope to get a reply, it is a great achievement for me,  can you please reply to my message??
Please ma'am ❤🙂; You are the most beautiful lady ❤️❤️❤️❤️ God bless you ❤❤❤; Lovely sister ❤❤; 😍🤩💖🔥👍; Ma'am really am telling to you am die hard fan for you . Am not compared to any other countries because feelings there is no particular place , heart , professional job , doesn't matter but feelings are talking about heart . So your words is make reborn us . That's why I love you so much ❤❤❤❤❤ I love you my life time . Your are my  favourite great motivational speaker.; I can't see her face; U are really a brave lady
, i learnt lot of things from u so this is🫶 for u.....❤"
Some Life Lessons! ♥️🖊️ #munibamazari #aspiretoinspire #dailymotivation #positivethinking,18382,2024-03-24T13:00:16Z,"{'default': {'url': 'https://i.ytimg.com/vi/JaORWcP3RDo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/JaORWcP3RDo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/JaORWcP3RDo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/JaORWcP3RDo/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/JaORWcP3RDo/maxresdefault.jpg', 'width': 1280, 'height': 720}}","😊; Waooo mam ur words always hits different 😢❤❤ amazing ❤; Wonderful words; Most inspiring person ❤ lots of love Muniba❤🙏; Correct 💯❤but your my happiness I always learn and motivate your speech thank you soooo much ❤; 🙏🙏🙏🌻; An answer to many of my questiions right now❤; I truly believe you👌👌👌💝💝; Accidents transforms into better version❤ thank you for motivation; can you please in Tamil language ?; I love your voice and speech love you sister ❤❤❤❤❤❤❤
I'm Tariq Aziz as a year brother I'm a student now please forgive me if do bad please,🙏🙏; 😍🤩💖👍; love u; ❤❤❤❤❤
very well said!; I wish there could only be incidents but not the actual accidents. Aamin somaamin ❤.; ""How can you forget something that transform you in the best version of yourself "" 💙🙏 thank you my dear❤; how nicely explained 😊❤️; Hatsoff to you Muniba ma'am👍👍; You are so brave; Iam sooo crazy to meet with you because I am your biggest fan 😊😊😊"
My 37th Birthday! 💖💐 #MunibaMazari #AspiretoInspire #DailyMotivation,20455,2024-03-19T13:00:01Z,"{'default': {'url': 'https://i.ytimg.com/vi/a6bFSeiF4N4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/a6bFSeiF4N4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/a6bFSeiF4N4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/a6bFSeiF4N4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/a6bFSeiF4N4/maxresdefault.jpg', 'width': 1280, 'height': 720}}","Hai, Muniba, kindly avoid cosmetics to facial, and try to use organic like turmeric..., especially to your daughter... God bless u all.. ur speech & English are so superb...; Happy birthday 🎈🎂 Muniba mam😊; Wish you a very very Happy Birthday; 😍🤩💖🔥👍; Happy Birthday 🎈🎈🎈🎂 ma'am; 😂👉🦋🦅😃; Happy Birthday didu❤❤; Best wishes.
Sister you are my real Motivation.❤stay blessed; Many Happy Returns of the Day dear God Bless You ❤🎉🎂; Happy Birthday to you 
God Bless You; Wishing you a very Happy Birthday Muniba ji.❤; Happy Birthday mam🎉; Be lated happy Birthday mam❤🎉❤; Happy birthday🎉; Happy birthday to you. God bless and protect you for everything 🎉🎉🎉🎉♥️♥️🎂🎂🎂🎂; Happy birthday iron lady ❤❤❤how beautiful you are 😘😘😘mashahallah; Happy birthday beautiful 🎉; Happy birthday 🎉🎉🎉🎉🎉; Happy birthday 🎉🎉🎉; Belated happy birthday mam.
You inspired me a lot.
You have a pure and selfless soul.
Your positivity makes me so strong
Thank u very much mam.
May u have all the precious love forever ♾️
Love from India ❤"
My Message To Haters | (English Subtitles) | Muniba Mazari,24555,2024-02-24T12:00:30Z,"{'default': {'url': 'https://i.ytimg.com/vi/_2aYQxU9j_Q/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/_2aYQxU9j_Q/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/_2aYQxU9j_Q/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/_2aYQxU9j_Q/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/_2aYQxU9j_Q/maxresdefault.jpg', 'width': 1280, 'height': 720}}","Alhamdulillah ❤❤; Very happy to see  you speaking in hindi 
Love you mam ❤❤; Mam ??; Aap se kon hate karta hai, aapne kabhi mere msg ka reply nahi kiya fir bhi mai aapse mohabbat karta hu 😊; You are one of the most inspirational personality for me you inspired me a lot you influenced my life a lot because of you also, I started a web developing company now I am happy and I was grateful and thankful for all your efforts though you are connected through online you are still inspiring.; Good ❤; You are awesome, great and beautiful strong lady.💕; Mam aapne bohot achi baat bole ho 

Mashallha bohot beautiful; Plse mam muniba Mazari 
The iron lady of Pakistan I admires you because I listened your speech talking your story I wish you quick recovery, but when you are talking speech talk english language plse I wish you to answer with me♥️; Thank you, mam.Thank you, universe❤❤❤❤; Love from India...❤❤; Much love❤❤; thats really true; Bht khoob mdm; Love you so much dear didi💕 Love from India ❤; Maine videos nahin dekhi aapke aap aisi batting kyun karrahi haun; Mashallah; You What is the use for world I am asking to you . simply make up coming ,; Beautiful speech thank you mam God bless you; Thank uuh Ma'am ❤❤ you are the best ❤❤"
Setting healthy boundaries! #munibamazari #aspiretoinspire #dailymotivation #positivethinking,24563,2024-01-27T13:00:42Z,"{'default': {'url': 'https://i.ytimg.com/vi/jSeSrdpBbd8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/jSeSrdpBbd8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/jSeSrdpBbd8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/jSeSrdpBbd8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/jSeSrdpBbd8/maxresdefault.jpg', 'width': 1280, 'height': 720}}","Dear Mam, I can't count the impact your wise words had on my life.... 
Thank you ❤; That's absolutely true my dear i love your motivational video ❤❤❤❤❤❤❤ ❤; Mash6; True liness❤❤; Very very truthful ❤❤❤; Yeah, really u are right madam, all the best.; You are great👌🇵🇰; Damn true ❤; 😍🤩👍; You are the greatest lady ❤❤❤❤; DoLAT NAHI PRYA RA 
SA ACHA DoSAT CHAHIYE BS; Thank you for your talk ❤ it.; I haven't words to explain your strengths; 😍😛👍; ❤❤❤❤❤❤❤; আপু❤❤❤; True line need to understand ❤❤❤; MashaAllah ❤💫🥰❤️💫🥰❤️; Right; ❤ ❤"
Why Is It Important To Set Boundaries? | Muniba Mazari,130832,2024-01-13T12:00:01Z,"{'default': {'url': 'https://i.ytimg.com/vi/-ovRu4-L3X8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/-ovRu4-L3X8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/-ovRu4-L3X8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/-ovRu4-L3X8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/-ovRu4-L3X8/maxresdefault.jpg', 'width': 1280, 'height': 720}}","Thank you all my beautiful YouTube family. Your support & love encourage me to do what I do! 💕 I’ll consider all your suggestions & topics for my upcoming videos! ♥️☺️; Madam 🙏🙏; I am really big fan of you mam❤; What about urdu; What is your main criteria to setup your healthy boundaries.; Thank you Muniba Muzar. We are  support you .; You are beautiful ❤️; A new fan from India of yours ...🇮🇳🇮🇳🇮🇳; I miss you so much.; Good Advice; Iron Lady say ""Don't die before you deaths ""👋; Many many thanks my dear! Allah pak jeno tomader sobaike shothik pothe porichalito koren abong duniya o akhirater uttom binimoy dan koren abong mittur somoy mukhe jari kore den pak kalema lailaha illallahu Muhammadur Rosulullah ($) ! I love you so so much OK ❤❤❤❤❤Red Rose 🌹🌹🌹🌹🌹 bhalo basha! May Allah bless you! Aameen; I love English. I love to speak English. I can speak a little bit of English. I am not satisfied with my weak English. Can you please tell me what I have to do to improve my English? I watched your video for the first time almost 5 years ago. 
Please, please and please tell me how I can be fluent in speaking. I will be glad, if you do it for me.; Mam u r so beautifully I wish to keep admire u without being stop to myself; I am from eritrea  muniba you are the model am proud of you; Muniba.; Yes poeple treat u just like u treat yourself ❤; 👍👍👍❤️❤️❤️; sanskrit padhao; সত্যি তোমার হাসিটা অনেক সুন্দর"
Happy Snowing! 🤍❄️🌨️ #munibamazari #dailymotivation #aspiretoinspire,50902,2024-01-08T12:00:36Z,"{'default': {'url': 'https://i.ytimg.com/vi/dPpOAjWWUIg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dPpOAjWWUIg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dPpOAjWWUIg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/dPpOAjWWUIg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/dPpOAjWWUIg/maxresdefault.jpg', 'width': 1280, 'height': 720}}","Your words are heal my problems. 🎉; ❤❤❤; Love you mam,,,, 
Form Bangladesh 🇧🇩🇧🇩; She is always on wheel chair but her smile is priceless❤; When you accident please sister tell me okay please 🥺; Most beautiful girl most kind so generous word ❤️; Loats of love and blessings to you and your son..❤ from India ❤; Какой красивый мальчик❤; My best wishes for u that ur lovely son will take care u whole life with sincerity and true love…god bless u both…; Always live on more compliments light tooo sister; You are amazing love is in the air; ❤😍🤩👍; she is not iron lady she is titanium lady of pakistan; You are my  inspiration; Pawar of voice monika mem; You are my inspiration 🎉❤❤❤; 😍🤩❤👍; GOD BLESS YOU AND YOUR SON🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗; Happy Republic Day di❤ you are so lucky that everyone is loving you really you are inspired to all of us; God bless you ❤"
